Yehor Yarmoliuk	37	2665	1	1.20	-0.20	16	4	6.25%	0.08
Jacob Ramsey	28	1444	2	1.19	0.81	16	4	12.50%	0.07
Matty Cash	35	3020	3	1.19	1.81	30	10	10.00%	0.04
Michael Kayode	37	3264	1	1.18	-0.18	9	3	11.11%	0.13
Youri Tielemans	25	1862	0	1.17	-1.17	24	7	0.00%	0.05
Ibrahim Sangaré	28	2080	2	1.15	0.85	16	5	12.50%	0.07
Lutsharel Geertruida	28	1685	0	1.15	-1.15	11	3	0.00%	0.10
Kyle Walker-Peters	23	1380	1	1.13	-0.13	5	3	20.00%	0.23
Rodri	21	1513	1	1.13	-0.13	16	3	6.25%	0.07
Álex Jiménez	31	2323	1	1.13	-0.13	21	4	4.76%	0.05
Harry Maguire	23	1655	1	1.11	-0.11	14	4	7.14%	0.08
Joël Veltman	24	1050	1	1.11	-0.11	4	1	25.00%	0.28
Andy Robertson	24	1172	1	1.10	-0.10	10	3	10.00%	0.11
Gabriel Gudmundsson	32	2637	0	1.10	-1.10	18	3	0.00%	0.06
Will Hughes	31	1568	0	1.09	-1.09	17	0	0.00%	0.06
Antonee Robinson	22	1492	1	1.07	-0.07	6	1	16.67%	0.18
Conor Gallagher	16	1190	1	1.07	-0.07	11	4	9.09%	0.10
Dan Burn	29	2199	1	1.06	-0.06	10	3	10.00%	0.11
Dan Ndoye	24	1176	1	1.06	-0.06	15	4	6.67%	0.07
Pedro Porro	34	2798	1	1.05	-0.05	32	8	3.12%	0.03
Reece James	29	1961	2	1.04	0.96	22	7	9.09%	0.05
Granit Xhaka	34	2903	1	1.02	-0.02	21	5	4.76%	0.05
Axel Disasi	14	1255	0	1.02	-1.02	5	3	0.00%	0.20
Lewis Hall	30	2179	1	1.01	-0.01	25	6	4.00%	0.04
Jean-Ricner Bellegarde	26	1251	1	0.99	0.01	21	7	4.76%	0.05
Fabian Schär	16	1091	0	0.98	-0.98	17	4	0.00%	0.06
Kenny Tete	22	1794	1	0.96	0.04	16	3	6.25%	0.06
Vitaly Janelt	25	1437	1	0.91	0.09	12	3	8.33%	0.08
Djed Spence	30	2056	0	0.90	-0.90	13	8	0.00%	0.07
Josh Cullen	18	1519	2	0.90	1.10	11	6	18.18%	0.08
Hannibal Mejbri	27	1231	1	0.89	0.11	19	5	5.26%	0.05
James Hill	29	2104	0	0.89	-0.89	12	2	0.00%	0.07
Jaka Bijol	25	1893	1	0.88	0.12	15	6	6.67%	0.06
Hugo Bueno	35	2364	1	0.86	0.14	16	6	6.25%	0.05
William Saliba	31	2615	1	0.86	0.14	5	1	20.00%	0.17
Josh Laurent	33	1759	1	0.85	0.15	14	4	7.14%	0.06
Nikola Milenkovic	38	3375	0	0.84	-0.84	16	1	0.00%	0.05
Kristoffer Ajer	27	1807	0	0.78	-0.78	10	3	0.00%	0.08
Carlos Baleba	31	1662	0	0.75	-0.75	20	2	0.00%	0.04
Rodrigo Bentancur	26	1892	1	0.74	0.26	13	3	7.69%	0.06
Murillo	25	2133	1	0.74	0.26	11	4	9.09%	0.07
Lucas Digne	31	1852	0	0.72	-0.72	14	5	0.00%	0.05
Wesley Fofana	25	1726	0	0.72	-0.72	8	1	0.00%	0.09
Maxime Estève	34	2937	0	0.72	-0.72	10	1	0.00%	0.07
Luke Shaw	38	3231	1	0.71	0.29	10	3	10.00%	0.07
Nico González	25	1567	1	0.70	0.30	14	2	7.14%	0.05
Abdukodir Khusanov	21	1429	0	0.68	-0.68	7	1	0.00%	0.10
Florentino	31	2112	0	0.66	-0.66	13	2	0.00%	0.05
Axel Tuanzebe	14	1202	1	0.61	0.39	2	1	50.00%	0.30
Tyler Adams	25	1778	2	0.60	1.40	10	6	20.00%	0.06
Tim Iroegbunam	29	1485	0	0.60	-0.60	12	1	0.00%	0.05
Rayan Aït-Nouri	17	976	0	0.59	-0.59	10	2	0.00%	0.06
Kevin Danso	24	1491	0	0.59	-0.59	11	2	0.00%	0.05
Lucas Pires	20	1406	0	0.58	-0.58	16	4	0.00%	0.04
Maximilian Kilman	21	1559	0	0.57	-0.57	7	1	0.00%	0.08
